,precision,recall,f1-score,support,Timestamp
4,0.7825342465753424,0.914,0.8431734317343174,1000.0,09102024_020447
5,0.952565343659245,0.984,0.9680275454992622,1000.0,09102024_020447
6,0.6201612903225806,0.769,0.6866071428571429,1000.0,09102024_020447
7,0.9711846318036286,0.91,0.9395973154362416,1000.0,09102024_020447
8,0.9681592039800996,0.973,0.970573566084788,1000.0,09102024_020447
9,0.9349904397705544,0.978,0.9560117302052786,1000.0,09102024_020447
accuracy,0.8842,0.8842,0.8842,0.8842,09102024_020447
macro avg,0.8934745073212873,0.8842000000000001,0.885691002357666,10000.0,09102024_020447
weighted avg,0.8934745073212874,0.8842,0.885691002357666,10000.0,09102024_020447
0,0.8417910447761194,0.846,0.8438902743142145,1000.0,09102024_021417
1,0.9858442871587462,0.975,0.9803921568627452,1000.0,09102024_021417
2,0.9028248587570622,0.799,0.8477453580901857,1000.0,09102024_021417
3,0.8696060037523452,0.927,0.8973862536302033,1000.0,09102024_021417
4,0.8321747765640516,0.838,0.8350772296960638,1000.0,09102024_021417
5,0.9615384615384616,0.975,0.968222442899702,1000.0,09102024_021417
6,0.6985221674876847,0.709,0.7037220843672457,1000.0,09102024_021417
7,0.9363992172211352,0.957,0.9465875370919882,1000.0,09102024_021417
8,0.959764474975466,0.978,0.9687964338781576,1000.0,09102024_021417
9,0.967280163599182,0.946,0.9565217391304348,1000.0,09102024_021417
accuracy,0.895,0.895,0.895,0.895,09102024_021417
macro avg,0.8955745455830254,0.8949999999999999,0.8948341509960942,10000.0,09102024_021417
weighted avg,0.8955745455830254,0.895,0.8948341509960941,10000.0,09102024_021417
0,0.8339552238805971,0.894,0.862934362934363,1000.0,09102024_021906
1,0.9908536585365854,0.975,0.9828629032258064,1000.0,09102024_021906
2,0.7719148936170213,0.907,0.8340229885057471,1000.0,09102024_021906
3,0.906093906093906,0.907,0.9065467266366816,1000.0,09102024_021906
4,0.8707093821510298,0.761,0.8121664887940235,1000.0,09102024_021906
5,0.975,0.975,0.975,1000.0,09102024_021906
6,0.7585812356979404,0.663,0.7075773745997865,1000.0,09102024_021906
7,0.9509018036072144,0.949,0.94994994994995,1000.0,09102024_021906
8,0.9644970414201184,0.978,0.971201588877855,1000.0,09102024_021906
9,0.9553571428571428,0.963,0.959163346613546,1000.0,09102024_021906
accuracy,0.8972,0.8972,0.8972,0.8972,09102024_021906
macro avg,0.8977864287861556,0.8972,0.8961425730137759,10000.0,09102024_021906
weighted avg,0.8977864287861556,0.8972,0.8961425730137759,10000.0,09102024_021906
0,0.8076225045372051,0.89,0.8468125594671742,1000.0,09102024_022629
1,0.9938271604938272,0.966,0.9797160243407708,1000.0,09102024_022629
2,0.8387715930902111,0.874,0.8560235063663075,1000.0,09102024_022629
3,0.9258474576271186,0.874,0.8991769547325102,1000.0,09102024_022629
4,0.8235294117647058,0.854,0.8384879725085911,1000.0,09102024_022629
5,0.9693372898120672,0.98,0.974639482844356,1000.0,09102024_022629
6,0.7301414581066377,0.671,0.6993225638353309,1000.0,09102024_022629
7,0.946840521564694,0.944,0.9454181271907862,1000.0,09102024_022629
8,0.9846153846153848,0.96,0.9721518987341772,1000.0,09102024_022629
9,0.961038961038961,0.962,0.96151924037981,1000.0,09102024_022629
accuracy,0.8975,0.8975,0.8975,0.8975,09102024_022629
macro avg,0.8981571742650812,0.8975,0.8973268330399813,10000.0,09102024_022629
weighted avg,0.8981571742650812,0.8975,0.8973268330399813,10000.0,09102024_022629
0,0.7945084145261293,0.897,0.8426491310474401,1000.0,09102024_091931
1,0.9908536585365854,0.975,0.9828629032258064,1000.0,09102024_091931
2,0.8493975903614458,0.846,0.8476953907815631,1000.0,09102024_091931
3,0.8797653958944281,0.9,0.8897676717745922,1000.0,09102024_091931
4,0.855923159018143,0.802,0.8280846670108415,1000.0,09102024_091931
5,0.984552008238929,0.956,0.9700659563673262,1000.0,09102024_091931
6,0.7112299465240641,0.665,0.6873385012919897,1000.0,09102024_091931
7,0.8943533697632058,0.982,0.9361296472831268,1000.0,09102024_091931
8,0.9788092835519676,0.97,0.9743847312908086,1000.0,09102024_091931
9,0.9861111111111112,0.923,0.9535123966942148,1000.0,09102024_091931
accuracy,0.8916,0.8916,0.8916,0.8916,09102024_091931
macro avg,0.8925503937526009,0.8916000000000001,0.891249099676771,10000.0,09102024_091931
weighted avg,0.8925503937526009,0.8916,0.8912490996767709,10000.0,09102024_091931
0,0.8383060635226179,0.871,0.8543403629230014,1000.0,09102024_092308
1,0.992878942014242,0.976,0.984367120524458,1000.0,09102024_092308
2,0.8588832487309644,0.846,0.8523929471032745,1000.0,09102024_092308
3,0.8993963782696177,0.894,0.8966900702106319,1000.0,09102024_092308
4,0.8122109158186864,0.878,0.8438250840941854,1000.0,09102024_092308
5,0.9882854100106496,0.928,0.9571944301186178,1000.0,09102024_092308
6,0.7251908396946565,0.665,0.693792383933229,1000.0,09102024_092308
7,0.8816725978647687,0.991,0.9331450094161958,1000.0,09102024_092308
8,0.9799196787148594,0.976,0.9779559118236472,1000.0,09102024_092308
9,0.9819532908704884,0.925,0.952626158599382,1000.0,09102024_092308
accuracy,0.895,0.895,0.895,0.895,09102024_092308
macro avg,0.8958697365511551,0.8949999999999999,0.8946329478746623,10000.0,09102024_092308
weighted avg,0.8958697365511551,0.895,0.8946329478746624,10000.0,09102024_092308
0,0.8563995837669095,0.823,0.8393676695563488,1000.0,09102024_100417
1,0.987866531850354,0.977,0.9824032176973352,1000.0,09102024_100417
2,0.8378119001919386,0.873,0.8550440744368266,1000.0,09102024_100417
3,0.8917322834645669,0.906,0.8988095238095238,1000.0,09102024_100417
4,0.8294117647058824,0.846,0.8376237623762376,1000.0,09102024_100417
5,0.974721941354904,0.964,0.9693313222724989,1000.0,09102024_100417
6,0.7192429022082019,0.684,0.7011788826242953,1000.0,09102024_100417
7,0.95630081300813,0.941,0.9485887096774194,1000.0,09102024_100417
8,0.9652087475149106,0.971,0.9680957128614156,1000.0,09102024_100417
9,0.9395393474088292,0.979,0.9588638589618022,1000.0,09102024_100417
accuracy,0.8964,0.8964,0.8964,0.8964,09102024_100417
macro avg,0.8958235815474627,0.8963999999999999,0.8959306734273703,10000.0,09102024_100417
weighted avg,0.8958235815474627,0.8964,0.8959306734273703,10000.0,09102024_100417
0,0.8612593383137673,0.807,0.8332472896231286,1000.0,09102024_112243
1,0.997948717948718,0.973,0.9853164556962024,1000.0,09102024_112243
2,0.8263305322128851,0.885,0.8546595847416707,1000.0,09102024_112243
3,0.8923679060665362,0.912,0.9020771513353116,1000.0,09102024_112243
4,0.8456852791878172,0.833,0.839294710327456,1000.0,09102024_112243
5,0.9410085632730733,0.989,0.9644076060458312,1000.0,09102024_112243
6,0.7036669970267592,0.71,0.7068193130910901,1000.0,09102024_112243
7,0.9652996845425869,0.918,0.9410558687852384,1000.0,09102024_112243
8,0.9768378650553876,0.97,0.973406924234822,1000.0,09102024_112243
9,0.9582504970178928,0.964,0.9611166500498504,1000.0,09102024_112243
accuracy,0.8961,0.8961,0.8961,0.8961,09102024_112243
macro avg,0.8968655380645423,0.8961,0.8961401553930604,10000.0,09102024_112243
weighted avg,0.8968655380645423,0.8961,0.8961401553930602,10000.0,09102024_112243
0,0.841642228739003,0.861,0.8512110726643599,1000.0,09102024_122907
1,0.9772502472799208,0.988,0.9825957235206364,1000.0,09102024_122907
2,0.8275538894095595,0.883,0.8543783260764393,1000.0,09102024_122907
3,0.8904109589041096,0.91,0.9000989119683481,1000.0,09102024_122907
4,0.7968892955169259,0.871,0.8322981366459627,1000.0,09102024_122907
5,0.9823834196891192,0.948,0.964885496183206,1000.0,09102024_122907
6,0.7610619469026548,0.602,0.672250139586823,1000.0,09102024_122907
7,0.947,0.947,0.947,1000.0,09102024_122907
8,0.9867751780264497,0.97,0.978315683308119,1000.0,09102024_122907
9,0.9358851674641148,0.978,0.956479217603912,1000.0,09102024_122907
accuracy,0.8958,0.8958,0.8958,0.8958,09102024_122907
macro avg,0.8946852331931858,0.8958,0.8939512707557806,10000.0,09102024_122907
weighted avg,0.8946852331931859,0.8958,0.8939512707557807,10000.0,09102024_122907
0,0.846077457795432,0.852,0.8490284005979073,1000.0,09102024_123008
1,0.9969167523124358,0.97,0.983274201723264,1000.0,09102024_123008
2,0.7971656333038086,0.9,0.8454673555659934,1000.0,09102024_123008
